timestamp_ms,timestamp_iso,angleID,angle_deg
1780992219084,2026-06-09T08:03:39.084Z,left_knee,19.25
1780992219105,2026-06-09T08:03:39.105Z,left_knee,22.31
1780992219126,2026-06-09T08:03:39.126Z,left_knee,22.02
1780992219146,2026-06-09T08:03:39.146Z,left_knee,21.28
1780992219166,2026-06-09T08:03:39.166Z,left_knee,21.67
1780992219187,2026-06-09T08:03:39.187Z,left_knee,20.5
1780992219207,2026-06-09T08:03:39.207Z,left_knee,20.91
1780992219227,2026-06-09T08:03:39.227Z,left_knee,21.86
1780992219248,2026-06-09T08:03:39.248Z,left_knee,21.62
1780992219269,2026-06-09T08:03:39.269Z,left_knee,21.1
1780992219289,2026-06-09T08:03:39.289Z,left_knee,20.3
1780992219310,2026-06-09T08:03:39.310Z,left_knee,21.97
1780992219330,2026-06-09T08:03:39.330Z,left_knee,19.03
1780992219350,2026-06-09T08:03:39.350Z,left_knee,18.69
1780992219371,2026-06-09T08:03:39.371Z,left_knee,15.57
1780992219391,2026-06-09T08:03:39.391Z,left_knee,17.51
1780992219412,2026-06-09T08:03:39.412Z,left_knee,14.99
1780992219432,2026-06-09T08:03:39.432Z,left_knee,13.9
1780992219453,2026-06-09T08:03:39.453Z,left_knee,13.1
1780992219474,2026-06-09T08:03:39.474Z,left_knee,12.43
1780992219494,2026-06-09T08:03:39.494Z,left_knee,11.15
1780992219515,2026-06-09T08:03:39.515Z,left_knee,11.33
1780992219535,2026-06-09T08:03:39.535Z,left_knee,12.17
1780992219556,2026-06-09T08:03:39.556Z,left_knee,9.01
1780992219576,2026-06-09T08:03:39.576Z,left_knee,7.49
1780992219596,2026-06-09T08:03:39.596Z,left_knee,7.02
1780992219617,2026-06-09T08:03:39.617Z,left_knee,4.91
1780992219637,2026-06-09T08:03:39.637Z,left_knee,4.92
1780992219658,2026-06-09T08:03:39.658Z,left_knee,2.74
1780992219678,2026-06-09T08:03:39.678Z,left_knee,1.1
1780992219699,2026-06-09T08:03:39.699Z,left_knee,0.7
1780992219719,2026-06-09T08:03:39.719Z,left_knee,1.46
1780992219740,2026-06-09T08:03:39.740Z,left_knee,3.01
1780992219760,2026-06-09T08:03:39.760Z,left_knee,3.36
1780992219781,2026-06-09T08:03:39.781Z,left_knee,4.49
1780992219801,2026-06-09T08:03:39.801Z,left_knee,5.78
1780992219822,2026-06-09T08:03:39.822Z,left_knee,6.0
1780992219842,2026-06-09T08:03:39.842Z,left_knee,9.32
1780992219863,2026-06-09T08:03:39.863Z,left_knee,8.42
1780992219883,2026-06-09T08:03:39.883Z,left_knee,11.9
1780992219904,2026-06-09T08:03:39.904Z,left_knee,12.15
1780992219924,2026-06-09T08:03:39.924Z,left_knee,12.99
1780992219945,2026-06-09T08:03:39.945Z,left_knee,12.69
1780992219965,2026-06-09T08:03:39.965Z,left_knee,14.91
1780992219986,2026-06-09T08:03:39.986Z,left_knee,16.79
1780992220006,2026-06-09T08:03:40.006Z,left_knee,16.69
1780992220027,2026-06-09T08:03:40.027Z,left_knee,19.15
1780992220047,2026-06-09T08:03:40.047Z,left_knee,19.8
1780992220068,2026-06-09T08:03:40.068Z,left_knee,17.39
1780992220088,2026-06-09T08:03:40.088Z,left_knee,19.04
1780992220108,2026-06-09T08:03:40.108Z,left_knee,20.88
1780992220129,2026-06-09T08:03:40.129Z,left_knee,18.78
1780992220149,2026-06-09T08:03:40.149Z,left_knee,19.9
1780992220170,2026-06-09T08:03:40.170Z,left_knee,21.84
1780992220191,2026-06-09T08:03:40.191Z,left_knee,20.77
1780992220211,2026-06-09T08:03:40.211Z,left_knee,21.72
1780992220232,2026-06-09T08:03:40.232Z,left_knee,21.61
1780992220252,2026-06-09T08:03:40.252Z,left_knee,22.86
1780992220273,2026-06-09T08:03:40.273Z,left_knee,20.09
1780992220293,2026-06-09T08:03:40.293Z,left_knee,20.32
1780992220313,2026-06-09T08:03:40.313Z,left_knee,19.58
1780992220334,2026-06-09T08:03:40.334Z,left_knee,18.04
1780992220355,2026-06-09T08:03:40.355Z,left_knee,16.95
1780992220375,2026-06-09T08:03:40.375Z,left_knee,17.61
1780992220396,2026-06-09T08:03:40.396Z,left_knee,18.48
1780992220416,2026-06-09T08:03:40.416Z,left_knee,15.65
1780992220436,2026-06-09T08:03:40.436Z,left_knee,16.8
1780992220457,2026-06-09T08:03:40.457Z,left_knee,15.7
1780992220477,2026-06-09T08:03:40.477Z,left_knee,12.93
1780992220498,2026-06-09T08:03:40.498Z,left_knee,11.19
1780992220519,2026-06-09T08:03:40.519Z,left_knee,10.54
1780992220539,2026-06-09T08:03:40.539Z,left_knee,10.23
1780992220559,2026-06-09T08:03:40.559Z,left_knee,10.07
1780992220579,2026-06-09T08:03:40.579Z,left_knee,8.13
1780992220600,2026-06-09T08:03:40.600Z,left_knee,6.64
1780992220620,2026-06-09T08:03:40.620Z,left_knee,4.17
1780992220640,2026-06-09T08:03:40.640Z,left_knee,3.95
1780992220661,2026-06-09T08:03:40.661Z,left_knee,3.11
1780992220681,2026-06-09T08:03:40.681Z,left_knee,1.25
1780992220702,2026-06-09T08:03:40.702Z,left_knee,0.05
1780992220723,2026-06-09T08:03:40.723Z,left_knee,0.53
1780992220743,2026-06-09T08:03:40.743Z,left_knee,2.46
1780992220763,2026-06-09T08:03:40.763Z,left_knee,4.74
1780992220784,2026-06-09T08:03:40.784Z,left_knee,5.37
1780992220804,2026-06-09T08:03:40.804Z,left_knee,5.01
1780992220825,2026-06-09T08:03:40.825Z,left_knee,6.81
1780992220845,2026-06-09T08:03:40.845Z,left_knee,9.71
1780992220866,2026-06-09T08:03:40.866Z,left_knee,10.61
1780992220886,2026-06-09T08:03:40.886Z,left_knee,10.4
1780992220907,2026-06-09T08:03:40.907Z,left_knee,11.3
1780992220927,2026-06-09T08:03:40.927Z,left_knee,11.9
1780992220948,2026-06-09T08:03:40.948Z,left_knee,14.45
1780992220968,2026-06-09T08:03:40.968Z,left_knee,13.29
1780992220989,2026-06-09T08:03:40.989Z,left_knee,16.07
1780992221010,2026-06-09T08:03:41.010Z,left_knee,15.75
1780992221030,2026-06-09T08:03:41.030Z,left_knee,17.99
1780992221050,2026-06-09T08:03:41.050Z,left_knee,18.6
1780992221071,2026-06-09T08:03:41.071Z,left_knee,20.34
1780992221092,2026-06-09T08:03:41.092Z,left_knee,19.79
1780992221112,2026-06-09T08:03:41.112Z,left_knee,20.48
1780992221132,2026-06-09T08:03:41.132Z,left_knee,21.23
